strategy,timeframe,ETHUSDT_stars,SOLUSDT_stars,SPY_stars,ETHUSDT_win_rate,SOLUSDT_win_rate,SPY_win_rate,avg_stars,bot_ready,trade_type
多时间框架趋势识别与蜡烛图模式交易策略-Multi-Timeframe-Trend-Recognition-and-Candlestick-Pattern-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Fibonacci-Extension-and-Retracement-Channel-Breakout-Strategy-斐波那契延展回撤通道突破策略,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动量均线破坏策略Momentum-Breakout-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI区间震荡交易策略RSI-Range-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
--Price-Action-Structural-Breakout-Strategy-with-Trailing-Stop_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
基于动量RSI指标的高频反转交易策略-High-Frequency-Reversal-Trading-Strategy-Based-on-Momentum-RSI-Indicator,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Crossover-Moving-Average-with-Smoothed-Candlestick-Momentum-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Comprehensive-Price-Gap-Short-Term-Trend-Capture-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
多时间周期动态网格RSI趋势震荡交易策略-Multi-Timeframe-Dynamic-Grid-RSI-Trend-Oscillation-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动量型一目均衡交易策略Momentum-Ichimoku-Cloud-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态马克平均线趋势策略Dynamic-Moving-Average-Trend-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Fibonacci-Extension-and-Retracement-Channel-Breakout-Strategy-_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI动态突破回调交易策略-RSI-Dynamic-Breakout-Retracement-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与布林线量化交易策略RSI-and-Bollinger-Bands-Quantitative-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Flawless-Victory-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Flawless-Victory-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Flawless-Victory-DCA-Flawless-Victory-DCA-Momentum-and-Volatility-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Five-Minute-Triple-Confirmation-Trend-Trading-Strategy-with-Risk-Management-System_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态风险调整杠杆交易系统Dynamic-Risk-Adjusted-Leverage-Trading-System,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态风险管理的指数均线交叉策略-Dynamic-Risk-Managed-Exponential-Moving-Average-Crossover-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动量ADX与RSI结合可调尾随停止策略Momentum-ADX-with-RSI-Trailing-Stop-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-AI-Powered-Volatility-Price-System-Divergence-Trading-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bully-Signals_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bully-Signals_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bully-Signals,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI双轨震荡线长短双向交易策略RSI-Dual-rail-Oscillation-Line-Long-and-Short-Bi-directional-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI双周期均线反转策略与动态风险管理系统-RSI-Dual-Period-Moving-Average-Reversal-Strategy-with-Dynamic-Risk-Management-System,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI动态止损止盈策略RSI-Dynamic-Stop-Loss-and-Take-Profit-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI动态止损智能交易策略-RSI-Dynamic-Stop-Loss-Intelligent-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI动态平仓位动量交易策略-RSI-Dynamic-Exit-Level-Momentum-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI双叉反转策略RSI-Dual-Cross-Reversal-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Flawless-Victory-DCA-动量与波动率策略Flawless-Victory-DCA-Momentum-and-Volatility-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Flawless-Victory-DCA-Flawless-Victory-DCA-Momentum-and-Volatility-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态随机相对强弱指标双线交叉自适应交易策略-Adaptive-Trading-Strategy-Based-on-Stochastic-RSI-Dual-Line-Crossover,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Low-Timeframe-High-Leverage-Trend-Following-Trading-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Ichimoku-Kinko-Hyo-Trend-Following-and-Support-Resistance-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Flawless-Victory-Strategy_1_2,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger带通道-RSI双线策略Bollinger-Band-RSI-Dual-Line-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger波带标准差突破策略Bollinger-Bands-Standard-Deviation-Breakout-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI动量反转策略RSI-Momentum-Reversal-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI双边交易策略-RSI-Dual-Side-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与布林带量化策略RSI-Bollinger-Bands-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI动态回撤止损策略-RSI-Dynamic-Drawdown-Stop-Loss-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI动态区间反转量化策略与波动率优化模型-RSI-Dynamic-Range-Reversal-Quantitative-Strategy-with-Volatility-Optimization-Model,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Fukuiz-Trend_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Fukuiz-Trend,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
基于动态波动率调整的双均线交叉与RSI-ATR复合过滤交易系统-Dynamic-Volatility-Adjusted-Dual-Moving-Average-Crossover-System-with-RSI-ATR-Composite-Filter,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Flawless-Victory-Strategy_2_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态阈值三重运行移动平均趋势交易策略-Dynamic-Threshold-Triple-Running-Moving-Average-Trend-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态通道百分比包络策略-Dynamic-Channel-Percentage-Envelope-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI低点反转策略-RSI-Low-Point-Reversal-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与布林带双重策略RSI-and-Bollinger-Bands-Dual-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与布林带协同波段交易策略-RSI-and-Bollinger-Bands-Synergistic-Swing-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI和OTT波带策略分析RSI-and-OTT-Bands-Strategy-Analysis,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI和MACD结合支撑阻力的量化交易策略Quantitative-Trading-Strategy-Combining-RSI-MACD-and-Support-Resistance,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI变动方向改变策略-RSI-Direction-Change-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI动量背离突破策略-RSI-Momentum-Divergence-Breakout-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger带震荡型突破策略Bollinger-Bands-Oscillation-Breakthrough-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态自适应多指标交叉策略结合SRSI和MACD的智能风控系统-Dynamic-Adaptive-Multi-Indicator-Crossing-Strategy-with-SRSI-MACD-Smart-Risk-Control-System,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Triple-EMA-Crossover-Trading-Strategy-with-Dynamic-Stop-Loss-and-Take-Profit_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Modified-Relative-Strength-Index-Trend-Following-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Three-Week-High-Low-Momentum-Trading-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Triple-Standard-Deviation-Momentum-Reversal-Trading-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态追踪趋势策略Dynamic-Trend-Following-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
G-Channel-Trend-Detection-Strategy-G-Channel_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
EtHEriOOOm-30MIN_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Fukuiz-Trend_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与布林带交叉双向回归策略-RSI-and-Bollinger-Bands-Cross-Regression-Dual-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与线性回归通道交易策略-RSI-and-Linear-Regression-Channel-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与斐波那契回转交易策略RSI-and-Fibonacci-Retracement-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与平滑RSI策略多头分型RSI-and-smoothed-RSI-bullish-divergence-strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与SMA组合交易策略RSI-and-SMA-Combination-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BollingerBollinger-Bands-Standard-Deviation-Breakout-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BollingerRSI双重策略仅多头v12Bollinger-RSI-Double-Strategy-Long-Only-v12,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态策略分析工具Dynamic-Strategy-Analytics-Tool,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Goblin-Town-60min-_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
G-Channel-Trend-Detection-Strategy-G-Channel趋势检测策略,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
G-Channel-Trend-Detection-Strategy-G-Channel_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态自适应趋势交易策略Dynamic-Adaptive-Trend-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
-Triple-Candle-Breakout-Momentum-Heikin-Ashi-Trading-System_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态自适应多时间周期趋势跟踪与震荡反转复合策略-Dynamic-Adaptive-Multi-Timeframe-Trend-Following-and-Range-Reversal-Hybrid-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI双向交易策略与初始止损RSI-Dual-Directional-Trading-Strategy-with-Initial-Stop-Loss,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与MA组合策略RSI-and-MA-Combination-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与布林带融合的LTC交易策略RSI-and-Bollinger-Bands-Fusion-Trading-Strategy-for-LTC,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与布林带结合的短线交易策略RSI-Bollinger-Bands-Short-term-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与布林带支撑阻力动态结合量化策略RSI-Combined-with-Bollinger-Bands-and-Dynamic-Support-Resistance-Quantitative-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
RSI与EMA通道日内交易策略RSI-and-EMA-Channel-Intraday-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BollingerRSIv12Bollinger-RSI-Double-Strategy-Long-Only-v12_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
基于动态双均线追踪止损策略Dynamic-Dual-Moving-Average-Trailing-Stop-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Goblin-Town-60min-可用版,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Gooners-BTC-Weekly-RSI-Hack-Strategy_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Gooners-BTC-Weekly-RSI-Hack-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动量套利策略回测分析Momentum-Arbitrage-Strategy-Backtest-Analysis,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
多时间周期动态信号组合的ICT智能结构突破策略-Multi-Period-Dynamic-Signal-Integration-ICT-Smart-Structure-Breakthrough-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
多时间周期RSI-SMA动态交叉自适应交易系统-Multi-Timeframe-RSI-SMA-Dynamic-Crossover-Adaptive-Trading-System,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BollingerRSI-v12Bollinger-RSI-Double-Strategy-Long-Only-v12_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR-by-SerdarYILMAZ,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bully-Signals_2_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR-by-SerdarYILMAZ_2_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR-by-SerdarYILMAZ_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-RSIBollinger-Band-RSI-Dual-Line-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BollingerBollinger-Bands-Oscillation-Breakthrough-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR-by-SerdarYILMAZ-SerdarYILMAZ_2_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR-by-SerdarYILMAZ-SerdarYILMAZ_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR-by-SerdarYILMAZ-SerdarYILMAZ,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
BuySell-Strategy-depends-on-AOStochRSIATR_2_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-RSI-Bollinger-Band-RSI-Dual-Line-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Bollinger-Bollinger-Bands-Standard-Deviation-Breakout-Strategy_1_1_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
Eight-Days-Reversal-Momentum-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
ETHUSDTPERP-BOT-30min,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
HTF-锯齿形路径策略HTF-Zigzag-Path-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
HTF-HTF-Zigzag-Path-Strategy_1,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
基于价格发散的趋势交易策略Price-Divergence-Based-Trend-Trading-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动态突破大师通道策略基于支撑阻力突破的自适应交易系统-Dynamic-Breakout-Master-Channel-Strategy-An-Adaptive-Trading-System-Based-on-Support-and-Resistance-Breakouts,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
动量布林带双均线DCA策略Momentum-Bollinger-Bands-Dual-Moving-Average-DCA-Strategy,1h,4.0,4.0,,60.53,62.86,,4.0,YES,INTRADAY
